,KNN__knn_params,features_droper__features_todrop,reduction__reduction_params,mean_test_score,std_test_score,mean_fit_time,mean_score_time
54,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 200}","-1,18958031212485","0,245327415758496","262,877072381973","1,30824589729309"
32,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 10}","-1,19379599839936","0,207821418489479","66,15051445961","0,389459657669067"
31,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 100}","-1,19678279311725","0,262227987911625","162,465171670914","0,864376831054687"
8,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 10}","-1,19988859543818","0,203738363022093","62,8698437690735","0,354369497299194"
56,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 10}","-1,19988859543818","0,203738363022093","67,6521856784821","0,362417459487915"
7,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 100}","-1,2014206482593","0,209227446160156","151,615586709976","0,755897235870361"
55,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 100}","-1,2014206482593","0,209227446160156","149,497332334518","0,803222608566284"
53,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",,"{'reduction_type': 'PCA', 'n_components': 10}","-1,20245394157663","0,238676937003675","4,41260414123535","0,344484996795654"
18,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'NCA', 'n_components': 200}","-1,20900776310524","0,198221236004167","250,058096122742","1,547412109375"
66,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'NCA', 'n_components': 200}","-1,20900776310524","0,198221236004167","266,432524490356","1,75480680465698"
27,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",,"{'reduction_type': 'PCA', 'n_components': 200}","-1,20969803921569","0,2664214762932","12,0251131057739","1,47961950302124"
42,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'NCA', 'n_components': 200}","-1,21077462985194","0,207817976286732","255,144509601593","1,72020673751831"
29,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",,"{'reduction_type': 'PCA', 'n_components': 10}","-1,22923545418167","0,228807593763147","6,08073053359985","0,416246747970581"
3,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",,"{'reduction_type': 'PCA', 'n_components': 200}","-1,23262480992397","0,257157567436807","11,8265570163727","1,47127203941345"
51,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",,"{'reduction_type': 'PCA', 'n_components': 200}","-1,24407026810724","0,270540111364923","11,7714402198792","1,45874814987183"
34,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",['imdb_score'],"{'reduction_type': 'PCA', 'n_components': 100}","-1,25648139255702","0,242472010534489","9,06730618476868","1,00187063217163"
22,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'PCA', 'n_components': 100}","-1,25776150460184","0,170405016237567","9,40092158317566","1,16729040145874"
5,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",,"{'reduction_type': 'PCA', 'n_components': 10}","-1,26057422969188","0,231959928706804","4,52378482818604","0,340488910675049"
46,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'PCA', 'n_components': 100}","-1,26652765106042","0,172099947694742","8,74400501251221","1,12318005561829"
70,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'PCA', 'n_components': 100}","-1,28626154461785","0,149207904348493","10,9085988521576","1,20887885093689"
38,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'NCA', 'n_components': 10}","-1,29293901560624","0,177000819591509","54,7767150878906","0,587578153610229"
36,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'NCA', 'n_components': 200}","-1,29609899959984","0,194766098618764","299,372204875946","2,50802388191223"
10,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",['imdb_score'],"{'reduction_type': 'PCA', 'n_components': 100}","-1,2965268507403","0,248003928116502","7,91217889785767","0,84160327911377"
21,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'PCA', 'n_components': 200}","-1,2971481392557","0,240815284364724","16,503556728363","1,74703621864319"
58,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",['imdb_score'],"{'reduction_type': 'PCA', 'n_components': 100}","-1,29940208083233","0,257567542204016","7,86777572631836","0,912818765640259"
12,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'NCA', 'n_components': 200}","-1,30177494997999","0,179294572450947","274,277763366699","1,50942635536194"
60,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'NCA', 'n_components': 200}","-1,30177494997999","0,179294572450947","289,486278533936","1,62723941802979"
69,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'PCA', 'n_components': 200}","-1,30494029611845","0,251273924436541","13,6679464817047","1,91480526924133"
14,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'NCA', 'n_components': 10}","-1,30690004001601","0,190006996253583","52,5480610847473","0,561479473114014"
62,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'NCA', 'n_components': 10}","-1,30690004001601","0,190006996253583","61,0857750415802","0,591164684295654"
45,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'PCA', 'n_components': 200}","-1,30721320528211","0,240618229799671","13,5507807731628","1,80169129371643"
13,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'NCA', 'n_components': 100}","-1,30832845138055","0,221867127663569","143,732784414291","0,949651908874512"
