,KNN__knn_params,NCA__nca_params,features_droper__features_todrop,Accuracy
23,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 200}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.318435774309724
24,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","{'random_state': 42, 'n_components': 50}",['imdb_score'],-1.2504300920368148
25,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","{'random_state': 42, 'n_components': 50}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.2686076030412163
26,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","{'random_state': 42, 'n_components': 100}",['imdb_score'],-1.1991628651460584
27,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","{'random_state': 42, 'n_components': 100}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.2642257703081232
28,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","{'random_state': 42, 'n_components': 150}",['imdb_score'],-1.1910669867947177
29,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","{'random_state': 42, 'n_components': 150}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.3064436174469787
30,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","{'random_state': 42, 'n_components': 200}",['imdb_score'],-1.253843457382953
31,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","{'random_state': 42, 'n_components': 200}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.318435774309724
32,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'jaccard'}","{'random_state': 42, 'n_components': 50}",['imdb_score'],-1.4280064825930379
33,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'jaccard'}","{'random_state': 42, 'n_components': 50}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.661361504601841
34,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'jaccard'}","{'random_state': 42, 'n_components': 100}",['imdb_score'],-1.380665706282513
35,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'jaccard'}","{'random_state': 42, 'n_components': 100}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.776528931572629
36,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'jaccard'}","{'random_state': 42, 'n_components': 150}",['imdb_score'],-2.9898237695078027
37,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'jaccard'}","{'random_state': 42, 'n_components': 150}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.951487154861945
38,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'jaccard'}","{'random_state': 42, 'n_components': 200}",['imdb_score'],-1.3197464585834335
39,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'jaccard'}","{'random_state': 42, 'n_components': 200}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.4734124049619848
40,"{'n_neighbors': 6, 'algorithm': 'kd_tree', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 50}",['imdb_score'],-1.2504300920368148
41,"{'n_neighbors': 6, 'algorithm': 'kd_tree', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 50}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.2686076030412163
42,"{'n_neighbors': 6, 'algorithm': 'kd_tree', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 100}",['imdb_score'],-1.1991628651460584
43,"{'n_neighbors': 6, 'algorithm': 'kd_tree', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 100}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.2642257703081232
44,"{'n_neighbors': 6, 'algorithm': 'kd_tree', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 150}",['imdb_score'],-1.1910669867947177
45,"{'n_neighbors': 6, 'algorithm': 'kd_tree', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 150}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.3064436174469787
46,"{'n_neighbors': 6, 'algorithm': 'kd_tree', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 200}",['imdb_score'],-1.253843457382953
47,"{'n_neighbors': 6, 'algorithm': 'kd_tree', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 200}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.318435774309724
48,"{'n_neighbors': 6, 'algorithm': 'brute', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 50}",['imdb_score'],-1.2504300920368148
49,"{'n_neighbors': 6, 'algorithm': 'brute', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 50}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.2686076030412163
50,"{'n_neighbors': 6, 'algorithm': 'brute', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 100}",['imdb_score'],-1.1991628651460584
51,"{'n_neighbors': 6, 'algorithm': 'brute', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 100}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.2642257703081232
52,"{'n_neighbors': 6, 'algorithm': 'brute', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 150}",['imdb_score'],-1.1910669867947177
53,"{'n_neighbors': 6, 'algorithm': 'brute', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 150}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.3064436174469787
54,"{'n_neighbors': 6, 'algorithm': 'brute', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 200}",['imdb_score'],-1.253843457382953
55,"{'n_neighbors': 6, 'algorithm': 'brute', 'metric': 'minkowski'}","{'random_state': 42, 'n_components': 200}","['imdb_score', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'num_user_for_reviews', 'num_critic_for_reviews', 'num_voted_users']",-1.318435774309724
